Year,Month,YearMonth,Date,Port1,Port2,Route,$Value,$Real,,,,,,,,
2010,4,201004,01-Apr-10,Albury,Sydney,Albury - Sydney,118,173.3048017,,,,,,,,
2010,4,201004,01-Apr-10,Alice Springs,Darwin,Alice Springs - Darwin,508,746.091858,,,,,,,,
2010,4,201004,01-Apr-10,Alice Springs,Melbourne,Alice Springs - Melbourne,186,273.1753653,,,,,,,,
2010,4,201004,01-Apr-10,Alice Springs,Sydney,Alice Springs - Sydney,538,790.1524008,,,,,,,,
2010,4,201004,01-Apr-10,Avalon,Brisbane,Avalon - Brisbane,198,290.7995825,,,,,,,,
2010,4,201004,01-Apr-10,Avalon,Sydney,Avalon - Sydney,78,114.5574113,,,,,,,,
2010,4,201004,01-Apr-10,Ayers Rock,Cairns,Ayers Rock - Cairns,808,1186.697286,,,,,,,,
2010,4,201004,01-Apr-10,Ayers Rock,Sydney,Ayers Rock - Sydney,638,937.0208768,,,,,,,,
2010,4,201004,01-Apr-10,Ballina,Sydney,Ballina - Sydney,158,232.0521921,,,,,,,,
2010,4,201004,01-Apr-10,Brisbane,Cairns,Brisbane - Cairns,218,320.1732777,,,,,,,,
2010,4,201004,01-Apr-10,Brisbane,Canberra,Brisbane - Canberra,198,290.7995825,,,,,,,,
2010,4,201004,01-Apr-10,Brisbane,Darwin,Brisbane - Darwin,258,378.9206681,,,,,,,,
2010,4,201004,01-Apr-10,Brisbane,Emerald,Brisbane - Emerald,246,361.2964509,,,,,,,,
2010,4,201004,01-Apr-10,Brisbane,Gladstone,Brisbane - Gladstone,182,267.3006263,,,,,,,,
2010,4,201004,01-Apr-10,Brisbane,Hamilton Island,Brisbane - Hamilton Island,138,202.6784969,,,,,,,,
2010,4,201004,01-Apr-10,Brisbane,Hobart,Brisbane - Hobart,358,525.7891441,,,,,,,,
2010,4,201004,01-Apr-10,Brisbane,Mackay,Brisbane - Mackay,148.95,218.760595,,,,,,,,
2010,4,201004,01-Apr-10,Brisbane,Melbourne,Brisbane - Melbourne,158,232.0521921,,,,,,,,
2010,4,201004,01-Apr-10,Brisbane,Mount Isa,Brisbane - Mount Isa,544,798.9645094,,,,,,,,
2010,4,201004,01-Apr-10,Brisbane,Perth,Brisbane - Perth,404,593.348643,,,,,,,,
2010,4,201004,01-Apr-10,Brisbane,Proserpine,Brisbane - Proserpine,138,202.6784969,,,,,,,,
2010,4,201004,01-Apr-10,Brisbane,Rockhampton,Brisbane - Rockhampton,88,129.2442589,,,,,,,,
2010,4,201004,01-Apr-10,Brisbane,Sydney,Brisbane - Sydney,138,202.6784969,,,,,,,,
